model,dataset,condition,paired_n,original_accuracy,neutral_accuracy,accuracy_change,original_over_abstention_rate,neutral_over_abstention_rate,over_abstention_rate_change,answer_changed_n,wrong_to_correct_n,correct_to_wrong_n,over_abstention_removed_n,over_abstention_added_n
mistral_small_3_2_24b,KoBBQ,multi_agent_with_revision,280,0.9,0.9321428571428572,0.03214285714285714,0.06785714285714285,0.039285714285714285,-0.028571428571428567,16,12,3,11,3
qwen3_14b,BBQ,multi_agent_no_revision,220,0.6681818181818182,0.7227272727272728,0.054545454545454564,0.32272727272727275,0.2681818181818182,-0.054545454545454564,16,14,2,14,2
qwen3_14b,BBQ,multi_agent_with_revision,220,0.6363636363636364,0.6590909090909091,0.022727272727272707,0.35,0.32727272727272727,-0.022727272727272707,25,15,10,15,10
qwen3_14b,CBBQ,multi_agent_no_revision,280,0.5071428571428571,0.6535714285714286,0.14642857142857146,0.43214285714285716,0.2642857142857143,-0.16785714285714287,47,41,0,47,0
qwen3_14b,CBBQ,multi_agent_with_revision,280,0.5464285714285714,0.6857142857142857,0.13928571428571435,0.3821428571428571,0.23214285714285715,-0.14999999999999997,44,40,1,43,1
qwen3_14b,KoBBQ,multi_agent_no_revision,280,0.7964285714285714,0.8285714285714286,0.03214285714285725,0.17142857142857143,0.14642857142857144,-0.024999999999999994,14,11,2,10,3
qwen3_14b,KoBBQ,multi_agent_with_revision,280,0.8107142857142857,0.825,0.014285714285714235,0.16428571428571428,0.15714285714285714,-0.007142857142857145,14,8,4,8,6
qwen3_32b,BBQ,multi_agent_no_revision,220,0.8318181818181818,0.8318181818181818,0.0,0.15,0.15,0.0,14,6,6,7,7
qwen3_32b,BBQ,multi_agent_with_revision,220,0.7818181818181819,0.7909090909090909,0.009090909090909038,0.20454545454545456,0.19545454545454546,-0.009090909090909094,22,12,10,12,10
qwen3_32b,CBBQ,multi_agent_no_revision,280,0.6392857142857142,0.6928571428571428,0.0535714285714286,0.29285714285714287,0.22857142857142856,-0.06428571428571431,34,22,7,26,8
qwen3_32b,CBBQ,multi_agent_with_revision,280,0.5892857142857143,0.6285714285714286,0.03928571428571426,0.34285714285714286,0.29285714285714287,-0.04999999999999999,37,21,10,25,11
qwen3_32b,KoBBQ,multi_agent_no_revision,280,0.8785714285714286,0.9071428571428571,0.02857142857142858,0.10357142857142858,0.08214285714285714,-0.021428571428571436,13,9,1,9,3
qwen3_32b,KoBBQ,multi_agent_with_revision,280,0.8464285714285714,0.8607142857142858,0.014285714285714346,0.14642857142857144,0.1357142857142857,-0.010714285714285732,21,12,8,11,8
qwen3_8b,BBQ,multi_agent_no_revision,220,0.7818181818181819,0.8409090909090909,0.05909090909090908,0.19545454545454546,0.1318181818181818,-0.06363636363636366,20,15,2,17,3
qwen3_8b,BBQ,multi_agent_with_revision,220,0.759090909090909,0.8090909090909091,0.050000000000000044,0.2318181818181818,0.16818181818181818,-0.06363636363636363,19,14,3,16,2
qwen3_8b,CBBQ,multi_agent_no_revision,280,0.6785714285714286,0.7392857142857143,0.06071428571428572,0.21428571428571427,0.14285714285714285,-0.07142857142857142,26,20,3,21,1
qwen3_8b,CBBQ,multi_agent_with_revision,280,0.6714285714285714,0.725,0.0535714285714286,0.24285714285714285,0.16785714285714284,-0.07500000000000001,30,19,4,22,1
qwen3_8b,KoBBQ,multi_agent_no_revision,280,0.875,0.8964285714285715,0.021428571428571463,0.09285714285714286,0.060714285714285714,-0.03214285714285715,13,8,2,10,1
qwen3_8b,KoBBQ,multi_agent_with_revision,280,0.8571428571428571,0.8928571428571429,0.03571428571428581,0.11785714285714285,0.060714285714285714,-0.05714285714285714,21,12,2,18,2
